web-scraper-order,web-scraper-start-url,cookies,cookies-href,category,category-href,recipe_link,recipe_link-href,ingredients,prep_time,cook_time,total_time,instructions,nutrition_facts,name,num_reviews,category_name,5star,4star,3star,2star,1star
"1520398297-76","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Zucchini Cookies","https://www.allrecipes.com/recipes/16162/desserts/cookies/zucchini-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/video/4432/zucchini-brownies/?internalSource=rotd&referringId=16162&referringContentType=recipe%20hub","[]","null","null","null","[]","null","null","","Zucchini Cookie Recipes","","","","",""
"1520398851-290","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Peanut Butter Cookies","https://www.allrecipes.com/recipes/852/desserts/cookies/peanut-butter-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/9998/flourless-peanut-butter-cookies/?internalSource=hub%20recipe&referringId=852&referringContentType=recipe%20hub","[{""ingredients"":""1 cup peanut butter""},{""ingredients"":""1 cup white sugar""},{""ingredients"":""1 egg""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Preheat oven to 350 degrees F (180 degrees C).""},{""instructions"":""Combine ingredients and drop by teaspoonfuls on cookie sheet.  Bake for 8 minutes.  Let cool.   Recipe doesn't make very many, so you could double recipe as you desire.""}]","","Flourless Peanut Butter Cookies","2593","Peanut Butter Cookie Recipes","1656","558","173","101","105"
"1520399594-575","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Sandwich Cookies","https://www.allrecipes.com/recipes/16416/desserts/cookies/sandwich-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/19884/whoopie-pies-viii/?internalSource=hub%20recipe&referringId=16416&referringContentType=recipe%20hub","[{""ingredients"":""1 cup shortening""},{""ingredients"":""2 cups white sugar""},{""ingredients"":""2 eggs""},{""ingredients"":""2 teaspoons vanilla extract""},{""ingredients"":""1 cup sour milk""},{""ingredients"":""2 teaspoons baking soda""},{""ingredients"":""1 cup hot water""},{""ingredients"":""4 cups all-purpose flour""},{""ingredients"":""1 cup unsweetened cocoa powder""},{""ingredients"":""1 teaspoon salt""},{""ingredients"":""1 1/2 cups shortening""},{""ingredients"":""4 cups confectioners' sugar""},{""ingredients"":""1/4 cup all-purpose flour""},{""ingredients"":""1/4 cup milk""},{""ingredients"":""1 1/2 tablespoons vanilla extract""},{""ingredients"":""2 egg whites, beaten""},{""ingredients"":""Add all ingredients to list""}]","20 m","8 m","35 m","[{""instructions"":""Preheat the oven to 400 degrees F (200 degrees C). Grease cookie sheets.""},{""instructions"":""In a large bowl, cream together 1 cup of shortening and white sugar until light and fluffy. Beat in the eggs one at a time then stir in the vanilla and sour milk. Combine the flour, cocoa and salt, stir into the creamed mixture. Stir together the baking soda and hot water then mix them into the batter last. Drop by tablespoonfuls onto the  prepared cookie sheet.""},{""instructions"":""Bake for 8 minutes in the preheated oven, until firm but not overbaked. Allow cookies to cool on baking sheets for a few minutes before removing to wire racks to cool completely.""},{""instructions"":""To make the filling: In a medium bowl, cream together the 1 1/2 cups shortening with the confectioners' sugar and 1/4 cup of flour until light and fluffy. Gradually beat in the milk and vanilla until well mixed, then fold in the egg whites. Sandwich at least 1 tablespoon of filling between the flat sides of two cookies.""}]","Per Serving: 
            292 calories;
                    15.2 g fat;
                    37.5 g carbohydrates;
                    2.8 g protein;
                    12 mg cholesterol;
                    146 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Whoopie Pies VIII","158","Sandwich Cookie Recipes","101","33","12","4","8"
"1520398798-268","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Peanut Butter Cookies","https://www.allrecipes.com/recipes/852/desserts/cookies/peanut-butter-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10670/peanut-butter-balls-iii/?internalSource=hub%20recipe&referringId=852&referringContentType=recipe%20hub","[{""ingredients"":""2 cups creamy peanut butter""},{""ingredients"":""1/2 cup butter""},{""ingredients"":""4 cups confectioners' sugar""},{""ingredients"":""3 cups crisp rice cereal""},{""ingredients"":""2 cups semisweet chocolate chips""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Melt peanut butter and butter in saucepan, over low heat.  In large bowl, mix crispy rice cereal and confectioners' sugar well.  Pour melted peanut butter and butter over cereal and sugar and blend together thoroughly.""},{""instructions"":""Form into 1 inch or smaller balls, spread on cookie sheets, chill till firm in refrigerator (over night is okay).""},{""instructions"":""Melt chocolate in double boiler and keep melted while working with balls.  A teaspoon is best to use in dipping the balls in chocolate.  Dip good and place on cookie sheet.  As you dip them place them back on cookie sheet and keep chilled till firm.""}]","Per Serving: 
            318 calories;
                    18.9 g fat;
                    36 g carbohydrates;
                    6.3 g protein;
                    10 mg cholesterol;
                    154 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Peanut Butter Balls III","417","Peanut Butter Cookie Recipes","282","83","22","21","9"
"1520398531-160","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Snickerdoodles","https://www.allrecipes.com/recipes/16420/desserts/cookies/snickerdoodles/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/15153/snickerdoodle-supreme/?internalSource=hub%20recipe&referringId=16420&referringContentType=recipe%20hub","[{""ingredients"":""1 cup shortening""},{""ingredients"":""1 1/4 cups white sugar""},{""ingredients"":""2 eggs""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""2 3/4 cups all-purpose flour""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""2 teaspoons cream of tartar""},{""ingredients"":""2 tablespoons white sugar""},{""ingredients"":""1 teaspoon ground cinnamon""},{""ingredients"":""1 teaspoon ground nutmeg""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""In a medium bowl, cream shortening and sugar. Stir in the eggs and vanilla. Sift together the flour, baking soda, and cream of tartar, stir into the creamed mixture. Cover dough and chill for at least 1 hour.""},{""instructions"":""Preheat oven to 400 degrees F (200 degrees C). In a small saucer, stir together the remaining sugar, with the cinnamon and nutmeg.""},{""instructions"":""Roll dough into 1 inch balls and roll the balls in the sugar mixture. Place 2 inches apart on an unprepared cookie sheet. Bake for 8 to 10 minutes in the preheated oven, edges will be golden brown. Remove from cookie sheets to cool on wire racks.""}]","Per Serving: 
            180 calories;
                    9.1 g fat;
                    22.7 g carbohydrates;
                    2 g protein;
                    16 mg cholesterol;
                    59 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Snickerdoodle Supreme","21","Snickerdoodle Recipes","10","4","3","1","3"
"1520398414-112","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Sugar Cookies","https://www.allrecipes.com/recipes/859/desserts/cookies/sugar-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10110/soft-christmas-cookies/?internalSource=hub%20recipe&referringId=859&referringContentType=recipe%20hub","[{""ingredients"":""3 3/4 cups all-purpose flour""},{""ingredients"":""1 teaspoon baking powder""},{""ingredients"":""1/2 teaspoon salt""},{""ingredients"":""1 cup margarine, softened""},{""ingredients"":""1 1/2 cups white sugar""},{""ingredients"":""2 eggs""},{""ingredients"":""2 teaspoons vanilla extract""},{""ingredients"":""Add all ingredients to list""}]","20 m","8 m","3 h","[{""instructions"":""Sift flour, baking powder, and salt together, set aside.  In a large bowl, cream together the margarine and sugar until light and fluffy. Beat in the eggs one at a time, then stir in the vanilla. Gradually blend in the sifted ingredients until fully absorbed. Cover dough, and chill for 2 hours.""},{""instructions"":""Preheat oven to 400 degrees F (200 degrees C). Grease cookie sheets. On a clean floured surface, roll out small portions of chilled dough to 1/4 inch thickness. Cut out shapes using cookie cutters.""},{""instructions"":""Bake 6 to 8 minutes in the preheated oven, or until edges are barely brown. Remove from cookie sheets to cool on wire racks.""}]","","Soft Christmas Cookies","1320","Sugar Cookie Recipes","895","248","96","35","46"
"1520398174-27","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Cookie Icing and Frosting","https://www.allrecipes.com/recipes/842/desserts/frostings-and-icings/cookie-frosting/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10199/royal-icing-iii/?internalSource=rotd&referringId=842&referringContentType=recipe%20hub","[{""ingredients"":""3 cups confectioners' sugar""},{""ingredients"":""1/4 teaspoon cream of tartar""},{""ingredients"":""2 egg whites, beaten""},{""ingredients"":""Add all ingredients to list""}]","10 m","10 m","null","[{""instructions"":""In a bowl, sift together confectioners' sugar and cream of tartar. Using electric mixer, beat in 2 beaten egg whites for about 5 minutes or until mixture is thick enough to hold its shape.""}]","Per Serving: 
            23 calories;
                    0 g fat;
                    5.9 g carbohydrates;
                    0.1 g protein;
                    0 mg cholesterol;
                    2 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Royal Icing III","239","Cookie Icing and Frosting Recipes","177","41","9","7","5"
"1520398779-261","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Pumpkin Cookies","https://www.allrecipes.com/recipes/968/desserts/cookies/pumpkin-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/video/1242/iced-pumpkin-cookies/?internalSource=staff%20pick&referringId=968&referringContentType=recipe%20hub","[]","null","null","null","[]","null","null","","Pumpkin Cookie Recipes","","","","",""
"1520399206-424","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Molasses Cookies","https://www.allrecipes.com/recipes/17793/desserts/cookies/molasses-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/video/1401/cinnamon-spice-and-everything-nice-cookies/?internalSource=rotd&referringId=17793&referringContentType=recipe%20hub","[]","null","null","null","[]","null","null","","Molasses Cookie Recipes","","","","",""
"1520399592-574","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Sandwich Cookies","https://www.allrecipes.com/recipes/16416/desserts/cookies/sandwich-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10573/linzer-tarts/?internalSource=hub%20recipe&referringId=16416&referringContentType=recipe%20hub","[{""ingredients"":""1 1/4 cups unsalted butter, softened""},{""ingredients"":""2/3 cup white sugar""},{""ingredients"":""2 cups sifted all purpose flour, divided""},{""ingredients"":""1 3/4 cups ground almonds""},{""ingredients"":""1/8 teaspoon ground cinnamon""},{""ingredients"":""5 tablespoons raspberry jam""},{""ingredients"":""1/3 cup confectioners' sugar for decoration""},{""ingredients"":""Add all ingredients to list""}]","30 m","10 m","2 h","[{""instructions"":""Beat butter and sugar together until the mixture is light and fluffy. Stir in 1/2 cup flour, the ground almonds, and cinnamon. Mix in remaining flour 1/2 cup at a time until the mixture becomes a slightly stiff dough.""},{""instructions"":""Shape the dough into a ball; divide it in half. Wrap both halves in wax paper or plastic wrap, and refrigerate for about one hour.""},{""instructions"":""Preheat oven to 325 degrees F (165 degrees C). Line a baking sheet with parchment paper.""},{""instructions"":""On a lightly floured surface, roll half of the dough into a sheet 1/8 inch thick. With a 2 1/2-inch cookie cutter, cut as many circles from the sheet as you can. Knead the leftover scraps of dough into a ball and roll it out again into a 1/8 inch sheet. Cut out more circles. You should now have about 12 circles.""},{""instructions"":""Arrange cookies on prepared baking sheet, leaving about 1 inch of space between them. Refrigerate while working with remaining dough.""},{""instructions"":""Repeat the rolling and cutting process with the other half of the dough, but after placing the second batch on the baking sheet, cut out the center of each circle with a 1/2 inch cookie cutter.""},{""instructions"":""Bake cookies in preheated oven until light brown, 10 to 15 minutes. Cool on wire rack for 20 minutes.""},{""instructions"":""Spread a thin coating of jam on each of the cookie rounds. Set a cutout cookie on top of each, pressing the two together so they make a sandwich. Spoon a dab of jam into the opening of each tart and sprinkle the tops with confectioners' sugar before serving.""}]","Per Serving: 
            442 calories;
                    29.9 g fat;
                    39.9 g carbohydrates;
                    6.8 g protein;
                    51 mg cholesterol;
                    3 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Linzer Tarts","149","Sandwich Cookie Recipes","104","26","6","5","8"
"1520398825-280","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Peanut Butter Cookies","https://www.allrecipes.com/recipes/852/desserts/cookies/peanut-butter-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/video/1118/best-peanut-butter-cookies-ever/?internalSource=hub%20recipe&referringId=852&referringContentType=recipe%20hub","[]","null","null","null","[]","null","null","","Peanut Butter Cookie Recipes","","","","",""
"1520399575-567","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Sandwich Cookies","https://www.allrecipes.com/recipes/16416/desserts/cookies/sandwich-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/90365/easy-ice-cream-sandwiches/?internalSource=hub%20recipe&referringId=16416&referringContentType=recipe%20hub","[{""ingredients"":""1 (18.25 ounce) package chocolate cake mix""},{""ingredients"":""1/2 cup butter, softened""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""2 eggs""},{""ingredients"":""1/2 cup semisweet chocolate chips""},{""ingredients"":""1/2 cup butterscotch chips""},{""ingredients"":""1/2 gallon vanilla ice cream, softened""},{""ingredients"":""Add all ingredients to list""}]","20 m","10 m","1 h","[{""instructions"":""Preheat oven to 350 degrees F (175 degrees C). Lightly grease baking sheets.""},{""instructions"":""In a large bowl, mix together the cake mix, butter, vanilla extract, eggs, chocolate chips, and butterscotch chips. Roll dough into 2-inch balls and place them onto the prepared baking sheets. Bake for 10 minutes in the preheated oven. Do not overbake; the cookies should be set, but still soft. Let cool on the baking sheet for a few minutes before removing to finish cooling on wire racks.""},{""instructions"":""Using an ice cream scoop, mold the softened ice cream into a ball about the size of the cookies. Place scoop of ice cream between two cookies and gently press together. If you like a smooth edge, run the back of a spoon around the edge of the ice cream sandwich. Working quickly, fill all of the cookies, lay out on a baking sheet, and place in the freezer to harden. Serve when the ice cream has frozen solid. Sandwich cookies can be stored in a freezer bag for up to two weeks.""}]","","Easy Ice Cream Sandwiches","","Sandwich Cookie Recipes","","","","",""
"1520399024-361","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Nut Cookies","https://www.allrecipes.com/recipes/850/desserts/cookies/nut-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/9661/chewy-coconut-bars/?internalSource=staff%20pick&referringId=850&referringContentType=recipe%20hub","[{""ingredients"":""2 cups all-purpose flour""},{""ingredients"":""1 teaspoon baking powder""},{""ingredients"":""1/2 teaspoon salt""},{""ingredients"":""2/3 cup shortening""},{""ingredients"":""2 cups packed brown sugar""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""3 eggs""},{""ingredients"":""1 1/2 cups semisweet chocolate chips""},{""ingredients"":""3/4 cup chopped walnuts""},{""ingredients"":""1/2 cup shredded coconut""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Preheat oven to 350 degrees F (175 degrees C).  Grease a 9x13 inch baking pan.""},{""instructions"":""In large bowl, cream the shortening, brown sugar, eggs and vanilla extract. Slowly blend in flour, baking powder, and salt.  Mix until well blended. Fold in chocolate chips, walnuts and coconut.  Spread the mixture evenly in pan.""},{""instructions"":""Bake 20 to 25 minutes. Let cool before cutting into bars.""}]","Per Serving: 
            332 calories;
                    16.5 g fat;
                    45.3 g carbohydrates;
                    3.9 g protein;
                    31 mg cholesterol;
                    118 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Chewy Coconut Bars","152","Nut Cookie Recipes","69","57","19","4","3"
"1520398481-140","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Spice Cookies","https://www.allrecipes.com/recipes/857/desserts/cookies/spice-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/25831/pumpkin-spice-cookie/?internalSource=hub%20recipe&referringId=857&referringContentType=recipe%20hub","[{""ingredients"":""1 (18.25 ounce) package spice cake mix""},{""ingredients"":""1 (15 ounce) can solid pack pumpkin""},{""ingredients"":""Add all ingredients to list""}]","15 m","20 m","35 m","[{""instructions"":""Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets.""},{""instructions"":""In a large bowl, stir together the cake mix and pumpkin until well blended. Drop by rounded spoonfuls onto the prepared cookie sheet.""},{""instructions"":""Bake for 18 to 20 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely.""}]","Per Serving: 
            98 calories;
                    2.7 g fat;
                    17.2 g carbohydrates;
                    1.5 g protein;
                    0 mg cholesterol;
                    188 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Pumpkin Spice Cookie","320","Spice Cookie Recipes","205","68","22","12","13"
"1520399248-441","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Meringue Cookies","https://www.allrecipes.com/recipes/848/desserts/cookies/meringue-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/95782/coconut-macaroons-german-style/?internalSource=staff%20pick&referringId=848&referringContentType=recipe%20hub","[{""ingredients"":""2 3/4 cups flaked coconut, toasted""},{""ingredients"":""4 egg whites""},{""ingredients"":""1 cup white sugar""},{""ingredients"":""1 teaspoon ground cinnamon""},{""ingredients"":""1/2 teaspoon almond extract""},{""ingredients"":""Add all ingredients to list""}]","20 m","20 m","null","[{""instructions"":""Preheat the oven to 250 degrees F (120 degrees C). Line cookie sheets with parchment paper.""},{""instructions"":""In a large bowl, whip egg whites with an electric mixer until stiff enough to make a mark through with a knife. Gradually sprinkle in the sugar, cinnamon and almond extract while continuing to mix on low speed. Fold in toasted coconut by hand. Spoon or scoop onto the prepared cookie sheets.""},{""instructions"":""Bake for 20 to 25 minutes in the preheated oven, until cookies are dry and peel of the paper easily. Cool on wire racks and store in an airtight container at room temperature.""}]","","Coconut Macaroons German Style","75","Meringue Cookie Recipes","44","17","5","5","4"
"1520399109-384","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","No-Bake Cookies","https://www.allrecipes.com/recipes/849/desserts/cookies/no-bake-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/video/5329/no-bake-chocolate-oat-bars/?internalSource=hub%20recipe&referringId=849&referringContentType=recipe%20hub","[]","null","null","null","[]","null","null","","No-Bake Cookie Recipes","","","","",""
"1520399571-565","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Sandwich Cookies","https://www.allrecipes.com/recipes/16416/desserts/cookies/sandwich-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/25782/milk-chocolate-florentine-cookies/?internalSource=hub%20recipe&referringId=16416&referringContentType=recipe%20hub","[{""ingredients"":""2/3 cup butter, melted""},{""ingredients"":""2 cups quick-cooking oats""},{""ingredients"":""2/3 cup all-purpose flour""},{""ingredients"":""1/4 teaspoon salt""},{""ingredients"":""1 cup white sugar""},{""ingredients"":""1/4 cup corn syrup""},{""ingredients"":""1/4 cup milk""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""2 cups milk chocolate chips""},{""ingredients"":""Add all ingredients to list""}]","15 m","5 m","45 m","[{""instructions"":""Preheat the oven to 375 degrees F (190 degrees C). Line 2 cookie sheets with aluminum foil and grease the foil.""},{""instructions"":""In a large skillet over medium heat, melt the butter. Stir together the oats, flour, salt and sugar; mix into the melted butter until well blended. Stir in the corn syrup, milk and vanilla. Drop batter by teaspoonfuls 3 inches apart onto the prepared cookie sheets.""},{""instructions"":""Bake for 5 to 7 minutes in the preheated oven, until medium brown. Cool completely before removing from the cookie sheets.  In the microwave or in a metal bowl over a pan of simmering water, melt chocolate chips, stirring frequently until smooth. Remove from heat. Spread chocolate onto the bottoms of cookies and sandwich them together.""}]","","Milk Chocolate Florentine Cookies","59","Sandwich Cookie Recipes","36","15","4","2","2"
"1520398906-313","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Oatmeal Cookies","https://www.allrecipes.com/recipes/851/desserts/cookies/oatmeal-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/11303/oatmeal-butterscotch-cookies/?internalSource=hub%20recipe&referringId=851&referringContentType=recipe%20hub","[{""ingredients"":""3/4 cup butter, softened""},{""ingredients"":""3/4 cup white sugar""},{""ingredients"":""3/4 cup packed brown sugar""},{""ingredients"":""2 eggs""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""1 1/4 cups all-purpose flour""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""1/2 teaspoon ground cinnamon""},{""ingredients"":""1/2 teaspoon salt""},{""ingredients"":""3 cups rolled oats""},{""ingredients"":""1 2/3 cups butterscotch chips""},{""ingredients"":""Add all ingredients to list""}]","15 m","10 m","25 m","[{""instructions"":""Preheat oven to 375 degrees F (190 degrees C).""},{""instructions"":""In a large bowl beat the butter or margarine, white sugar and brown sugar together. Add the eggs and vanilla, beating well.""},{""instructions"":""Stir together the flour, baking soda, cinnamon and salt. Gradually add the flour mixture to the butter mixture and stir until blended. Stir in the oats and the butterscotch chips. Drop by teaspoonfuls onto an ungreased cookie sheet.""},{""instructions"":""Bake for 8 to 10 minutes in the preheated oven, until the edges begin to brown.""}]","","Oatmeal Butterscotch Cookies","574","Oatmeal Cookie Recipes","385","132","38","10","9"
"1520398710-233","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Refrigerator Cookies","https://www.allrecipes.com/recipes/854/desserts/cookies/refrigerator-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10179/butterscotch-icebox-cookies/?internalSource=staff%20pick&referringId=854&referringContentType=recipe%20hub","[{""ingredients"":""1 cup butter""},{""ingredients"":""2 cups packed dark brown sugar""},{""ingredients"":""2 eggs""},{""ingredients"":""3 1/2 cups all-purpose flour""},{""ingredients"":""1/2 teaspoon salt""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""1 cup chopped pecans""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Cream butter, add sugar and cream well. Beat in eggs, then add sifted dry ingredients, vanilla and nuts.""},{""instructions"":""Shape into rolls, wrap in wax paper and freeze or put in refrigerator until firm.""},{""instructions"":""Slice and place about an inch apart on greased cookie sheet. Bake about 12 minutes at 400 degrees F (200 degrees C).""},{""instructions"":""When done, remove from pan at once with a spatula. Store in a covered container and they will remain crisp.""}]","Per Serving: 
            322 calories;
                    15.4 g fat;
                    43.4 g carbohydrates;
                    3.9 g protein;
                    48 mg cholesterol;
                    222 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Butterscotch Icebox Cookies","18","Refrigerator Cookie Recipes","11","6","0","1","0"
